ab_time,gps_speed,acceleration,vehicle_speed,throttle_percentage,brake_percentage,steering_angle,gear_location,drive_mode,speed_KF,acc_KF,accModfiy
20210929:14:41:38.552,2.6892,-0.0296,2.55408,0.1,0.0,0.02,1,自动驾驶,2.6236446109753344,-0.16927151416389233,-0.29008000000000006
20210929:14:41:38.603,2.6424,-0.0304,2.55785,0.1,0.0,0.02,1,自动驾驶,2.610981751239942,-0.17021649754477244,-0.29792
20210929:14:41:38.650,2.6424,-0.016,2.56126,0.1,0.0,0.02,1,自动驾驶,2.605358691139878,-0.16128778242349068,-0.15680000000000002
20210929:14:41:38.700,2.6244,-0.0159,2.56435,0.1,0.0,0.02,1,自动驾驶,2.5956336376545,-0.15465493470192873,-0.15582000000000001
20210929:14:41:38.752,2.6784,-0.0198,2.56715,0.1,0.0,0.02,1,自动驾驶,2.6114558982579923,-0.14238914910880518,-0.19404000000000002
20210929:14:41:38.801,2.6388,-0.0225,2.56968,0.1,0.0,0.02,1,自动驾驶,2.605870622585585,-0.13992884281655976,-0.2205
20210929:14:41:38.849,2.7036,-0.0256,2.57346,0.1,0.0,0.02,1,自动驾驶,2.6282213929972498,-0.13016933041499124,-0.25088000000000005
20210929:14:41:38.900,2.7036,-0.0163,2.57687,0.1,0.0,0.01,1,自动驾驶,2.643877110442344,-0.11888805511119147,-0.15974
20210929:14:41:38.952,2.7468,-0.0097,2.58145,0.1,0.0,0.01,1,自动驾驶,2.6725484497424614,-0.10117642439474578,-0.09506
20210929:14:41:39.002,2.7216,-0.0146,2.58708,0.1,0.0,0.01,1,自动驾驶,2.680625846180224,-0.09475162167179238,-0.14308
20210929:14:41:39.048,2.7216,-0.0146,2.59217,0.1,0.0,0.0,1,自动驾驶,2.6860726856347323,-0.08991058859876393,-0.14308
20210929:14:41:39.100,2.7576,-0.0033,2.59827,0.1,0.0,-0.01,1,自动驾驶,2.7058106327537605,-0.07506584132419833,-0.03234
20210929:14:41:39.149,2.6928,-0.0131,2.60378,0.1,0.0,-0.03,1,自动驾驶,2.691719648417921,-0.0780724641444414,-0.12838000000000002
20210929:14:41:39.202,2.7252,-0.0131,2.61026,0.1,0.0,-0.02,1,自动驾驶,2.695941910374839,-0.07472487459842662,-0.12838000000000002
20210929:14:41:39.252,2.7252,-0.0131,2.61761,0.1,0.0,-0.03,1,自动驾驶,2.6987881024534865,-0.07220428254782256,-0.12838000000000002
20210929:14:41:39.299,2.7468,-0.0157,2.62426,0.1,0.0,-0.02,1,自动驾驶,2.7089976658319332,-0.0688923749187928,-0.15386
20210929:14:41:39.349,2.7936,-0.0175,2.63027,0.1,0.0,-0.01,1,自动驾驶,2.7338928828032003,-0.06205757609190422,-0.17150000000000004
20210929:14:41:39.401,2.79,-0.0301,2.6372,0.1,0.0,-0.02,1,自动驾驶,2.746224137198725,-0.06663931865304112,-0.29498
20210929:14:41:39.451,2.7828,-0.0494,2.64347,0.1,0.0,-0.02,1,自动驾驶,2.7475502823333673,-0.08431554821767875,-0.48412000000000005
20210929:14:41:39.499,2.7612,-0.0354,2.65064,0.1,0.0,-0.03,1,自动驾驶,2.7400626453776322,-0.09566106780305887,-0.34692000000000006
20210929:14:41:39.549,2.7,-0.05,2.65711,0.1,0.0,-0.02,1,自动驾驶,2.707941071920829,-0.12138890298813122,-0.49000000000000005
20210929:14:41:39.603,2.7539999999999996,-0.0477,2.66446,0.1,0.0,-0.02,1,自动驾驶,2.708190700582692,-0.13240841398981396,-0.46746000000000004
20210929:14:41:39.652,2.6856,-0.027000000000000003,2.6696299999999997,0.1,0.0,-0.02,1,自动驾驶,2.682921255653822,-0.13986327956314498,-0.26460000000000006
20210929:14:41:39.701,2.772,-0.0429,2.6728099999999997,0.1,0.0,-0.02,1,自动驾驶,2.6993392106306167,-0.14101654052980714,-0.42042
20210929:14:41:39.749,2.718,-0.0145,2.6757,0.1,0.0,-0.02,1,自动驾驶,2.6915556522452837,-0.135290774477262,-0.1421
20210929:14:41:39.799,2.7468,-0.0239,2.67682,0.1,0.0,-0.02,1,自动驾驶,2.697591322598752,-0.1305315119440815,-0.23422000000000004
20210929:14:41:39.853,2.7,-0.0173,2.67784,0.1,0.0,-0.02,1,自动驾驶,2.683885662184702,-0.12937523513896035,-0.16954
20210929:14:41:39.902,2.7252,-0.028999999999999998,2.67876,0.1,0.0,-0.02,1,自动驾驶,2.684171629544245,-0.12980783881971272,-0.2842
20210929:14:41:39.949,2.736,-0.02,2.67959,0.1,0.0,-0.02,1,自动驾驶,2.6899119933919167,-0.12374056793540873,-0.196
20210929:14:41:39.999,2.7612,-0.0379,2.68034,0.1,0.0,-0.02,1,自动驾驶,2.7014367141582394,-0.12571855111650804,-0.3714200000000001
20210929:14:41:40.052,2.7612,-0.0379,2.68102,0.1,0.0,-0.02,1,自动驾驶,2.7081674170238244,-0.12905032503251312,-0.3714200000000001
20210929:14:41:40.102,2.7036,-0.0493,2.6816400000000002,0.1,0.0,-0.02,1,自动驾驶,2.6872243310172617,-0.14700399596076658,-0.48314
20210929:14:41:40.152,2.6172,-0.0505,2.68071,0.1,0.0,-0.02,1,自动驾驶,2.638253222216468,-0.17277833188851627,-0.49490000000000006
20210929:14:41:40.201,2.6604,-0.0332,2.6783799999999998,0.1,0.0,-0.02,1,自动驾驶,2.626218009865094,-0.17457393373014607,-0.32536000000000004
